id,english,japanese,muted
idle:0,"Master~ what shall we do today?",マスター～、今日は何する？,0
idle:1,"The workshop is all set, we can start whenever you like.",工房の準備はできてるよ、いつでも始めていいよ。,0
idle:2,"Idling... but my ears aren't. I can hear a bug laughing off in the distance😼",待機中……でも耳は休んでないよ。遠くでバグが笑ってるの聞こえる。😼,0
idle:3,"If you're tired, poke me. Free stress relief, no tricks, honest🫧",疲れたら私をつついてね。ストレス解消は無料、裏なんてないよ。ほんとだってば🫧,0
idle:4,"The wind is light today. Perfect for blowing the to-do list away too🌬️",今日は風が気持ちいいね。やることリストも一緒に飛ばしちゃおう。🌬️,0
"waiting:0","Ordering? Umika is ready~",ご注文？くじらちゃんは準備万端だよ～,0
"waiting:1","Waiting for what? Say the word and I'll open for business🎀",何を待ってるの？ひと言くれたら、すぐ開店するよ🎀,0
"waiting:2","No new orders yet, so I'll wipe down the pan... I mean, wipe down the rig💻",新しい注文はまだないし、フライパンを拭いておこう……じゃなくて、機材を拭いておこう💻,0
"waiting:3","In the queue. Umika's tail is on standby🐋",順番待ち中。くじらちゃんのしっぽもスタンバイしてるよ🐋,0
"thinking:0","Whipping cream... no wait, thinking hard~",生クリームを泡立てて……じゃなかった、一生懸命考えてるよ～,0
"thinking:1","Let Umika think... my tail is spinning along with it.",くじらちゃんに考えさせてね……しっぽも一緒にくるくる回ってるよ,0
"thinking:2","Thinking, please don't feed me. Unless it's a cupcake for the brain🧁",考え中だから、食べ物はあげないでね。頭に効くカップケーキなら別だけど🧁,0
"thinking:3","This problem has some meat to it. I'm rounding it out🌀",この問題、なかなか手ごわいね。今、うまくまとめてるところ🌀,0
"thinking:4","Loading inspiration, the bar sticking at 99% is normal✨",ひらめきを読み込み中。99％で止まるのは正常だよ✨,0
tool:0,"Kitchen's open! Leave this order to Umika~",キッチン開店！この注文はくじらちゃんに任せて～,0
tool:1,"Clang clang, the tools are spinning up.",カンカン、道具が回り始めたよ。,0
tool:2,"Working! Umika is hugging the laptop tight, bystanders disperse😤",作業中！くじらちゃんがノートパソコンをぎゅっと抱えてるから、見物人は解散してね😤,0
